Ensembl_ID	Phase	Gene_Name	Normalized_Values
ENSMUSG00000029238	0.0	Clock	92,95,70,30,0,46,100,80
ENSMUSG00000027883	0.0	Gpsm2	75,50,76,35,0,21,80,100
ENSMUSG00000078675	0.0	Mup16	70,100,32,17,8,0,88,82
ENSMUSG00000032420	0.0	Nt5e	98,100,55,32,0,35,97,79
ENSMUSG00000045411	0.1	2410002F23Rik	99,100,69,33,20,8,3,0
ENSMUSG00000074107	0.1	AC110551.1	79,100,30,4,0,5,74,46
ENSMUSG00000036545	0.1	Adamts2	100,84,41,28,3,0,10,11
ENSMUSG00000057315	0.1	Arhgap24	47,44,41,21,0,10,35,100
ENSMUSG00000060613	0.1	Cyp2c70	52,100,2,0,10,6,32,55
ENSMUSG00000000876	0.1	Pxmp4	96,92,46,14,0,10,34,100
ENSMUSG00000032449	0.1	Slc25a36	91,100,31,2,4,11,0,15
ENSMUSG00000087273	0.2	AL606969.2	100,87,51,0,4,18,6,33
ENSMUSG00000021130	0.2	Galntl1	100,94,54,0,40,1,27,81
ENSMUSG00000026826	0.2	Nr4a2	100,83,42,17,0,30,6,37
ENSMUSG00000060212	0.2	Pcnxl2	100,44,78,0,7,22,6,71
ENSMUSG00000028933	0.2	Xrcc2	100,69,42,30,3,0,30,30
ENSMUSG00000029385	0.3	Ccng2	79,100,38,35,0,11,94,78
ENSMUSG00000015357	0.3	Clpx	87,100,45,8,0,9,37,80
ENSMUSG00000039982	0.3	Dtx4	86,100,51,13,0,22,44,68
ENSMUSG00000009566	0.3	Fpgs	97,82,74,1,0,29,40,100
ENSMUSG00000040865	0.3	Ino80d	90,92,65,18,10,0,100,79
ENSMUSG00000010609	0.3	Psen2	73,74,68,25,0,32,65,100
ENSMUSG00000020805	0.3	Slc13a5	100,74,49,20,0,23,0,22
ENSMUSG00000040688	0.3	Tbl3	71,73,47,23,0,0,61,100
ENSMUSG00000022442	0.3	Ttll1	67,50,38,10,3,0,1,100
ENSMUSG00000021400	0.3	Wrnip1	100,69,92,20,0,45,79,64
ENSMUSG00000084931	0.4	AC110028.1	100,89,51,82,0,44,42,88
ENSMUSG00000052976	0.4	AC113961.2	91,74,34,36,13,0,7,100
ENSMUSG00000071649	0.4	B3gat3	100,80,45,5,7,0,2,72
ENSMUSG00000013483	0.4	Card14	54,100,0,0,1,0,0,70
ENSMUSG00000007216	0.4	Zfp775	100,85,81,2,0,53,7,78
ENSMUSG00000040760	0.5	Appl1	76,100,39,28,0,19,82,60
ENSMUSG00000050470	0.5	B230340J04Rik	37,100,11,17,0,6,65,75
ENSMUSG00000022096	0.5	Hr	89,100,61,39,0,37,84,82
ENSMUSG00000038751	0.5	Ptk6	60,100,23,23,0,37,28,60
ENSMUSG00000005124	0.5	Wisp1	100,69,50,27,29,0,16,48
ENSMUSG00000062742	0.6	AC121821.2	98,100,63,2,0,18,11,70
ENSMUSG00000020123	0.6	Avpr1a	84,100,33,18,0,8,38,37
ENSMUSG00000039395	0.6	Mreg	100,91,74,19,0,20,49,85
ENSMUSG00000020061	0.6	Mybpc1	100,91,39,35,8,0,11,83
ENSMUSG00000042684	0.6	Npl	100,84,62,29,0,20,43,51
ENSMUSG00000034206	0.6	Polq	87,100,32,31,20,17,0,90
ENSMUSG00000045098	0.6	Suv420h1	43,100,46,2,0,39,74,82
ENSMUSG00000024426	0.7	2610110G12Rik	100,79,64,4,14,0,16,43
ENSMUSG00000001138	0.7	Cnnm3	100,81,72,21,0,27,16,33
ENSMUSG00000002797	0.7	Ggct	51,100,31,16,0,33,45,82
ENSMUSG00000026566	0.7	Mpzl1	49,100,46,0,12,16,49,93
ENSMUSG00000021951	0.7	N6amt2	63,100,44,35,0,54,34,94
ENSMUSG00000022881	0.7	Rfc4	79,100,47,27,29,0,63,97
ENSMUSG00000064853	0.7	SNORA38	68,73,51,15,0,17,36,100
ENSMUSG00000029003	0.8	Mad2l2	77,100,65,18,0,28,40,97
ENSMUSG00000040127	0.8	Sdr9c7	99,75,75,45,0,28,44,100
ENSMUSG00000055799	0.8	Tcf7l1	100,65,81,0,10,2,3,29
ENSMUSG00000022010	0.8	Tsc22d1	88,100,63,54,0,67,38,78
ENSMUSG00000003228	0.9	Grk5	78,100,35,9,10,0,19,43
ENSMUSG00000034518	0.9	Hmgxb4	67,100,47,40,0,31,57,88
ENSMUSG00000023795	0.9	Pisd-ps2	93,51,100,28,0,31,60,89
ENSMUSG00000058626	1.0	Capn11	100,93,81,0,22,16,0,30
ENSMUSG00000050445	1.0	Cyp8b1	100,63,77,31,0,1,35,81
ENSMUSG00000066026	1.0	Dhrs3	86,100,67,35,0,23,52,93
ENSMUSG00000028019	1.0	Pdgfc	63,100,53,27,0,46,42,65
ENSMUSG00000033578	1.0	Tmem35	45,60,40,0,16,1,5,100
ENSMUSG00000086938	1.1	AC122861.3	100,80,75,18,20,25,0,67
ENSMUSG00000085995	1.1	AC124977.1	100,85,94,15,0,17,55,56
ENSMUSG00000087023	1.1	AC142103.1	47,97,56,26,0,38,73,100
ENSMUSG00000022900	1.1	Ildr1	100,77,54,56,0,7,40,45
ENSMUSG00000003421	1.1	Nosip	100,46,71,43,19,0,18,87
ENSMUSG00000018566	1.1	Slc2a4	100,98,83,0,12,12,36,65
ENSMUSG00000018427	1.1	Ypel2	38,100,28,14,0,6,59,74
ENSMUSG00000037204	1.2	9430023L20Rik	94,63,93,49,0,42,47,100
ENSMUSG00000038010	1.2	Ccdc138	67,77,46,43,0,10,28,100
ENSMUSG00000027068	1.2	Dhrs9	53,100,32,4,0,20,29,37
ENSMUSG00000035509	1.2	Fbxl21	90,100,74,56,0,60,61,70
ENSMUSG00000029469	1.2	Ift81	62,98,37,53,0,24,48,100
ENSMUSG00000020212	1.2	Mdm1	77,100,48,29,0,8,36,75
ENSMUSG00000078817	1.2	Nlrp12	53,100,40,0,3,28,25,52
ENSMUSG00000078784	1.3	1810022K09Rik	99,100,74,36,0,8,62,44
ENSMUSG00000000326	1.3	Comt1	90,100,56,30,18,16,0,29
ENSMUSG00000017830	1.3	Dhx58	100,66,83,48,0,27,26,73
ENSMUSG00000072214	1.4	5-Sep	66,100,54,26,0,21,61,36
ENSMUSG00000052632	1.4	Asap2	54,100,40,2,0,8,24,73
ENSMUSG00000022512	1.4	Cldn1	68,100,62,34,0,35,58,74
ENSMUSG00000038530	1.4	Rgs4	100,95,84,34,0,15,43,28
ENSMUSG00000024131	1.4	Slc3a1	58,100,46,7,0,12,45,64
ENSMUSG00000031024	1.4	St5	50,100,47,8,0,10,45,73
ENSMUSG00000026389	1.4	Steap3	75,100,63,52,0,38,76,75
ENSMUSG00000059878	1.4	Zfp422	60,100,45,30,0,35,38,83
ENSMUSG00000085644	1.5	AC108401.1	77,86,78,13,16,0,31,100
ENSMUSG00000015093	1.5	Clic3	74,100,55,22,0,12,24,13
ENSMUSG00000061126	1.6	Cyp4f39	45,68,51,27,0,2,44,100
ENSMUSG00000003721	1.6	Insig2	50,100,33,14,0,8,32,47
ENSMUSG00000048490	1.6	Nrip1	70,100,62,31,0,31,43,67
ENSMUSG00000038884	1.7	A230050P20Rik	47,73,82,20,0,28,76,100
ENSMUSG00000077565	1.7	SNORD12	98,100,82,14,46,7,0,49
ENSMUSG00000030664	1.8	1110006G14Rik	79,100,43,62,0,26,33,45
ENSMUSG00000020897	1.8	Aurkb	68,100,58,24,18,0,47,37
ENSMUSG00000031594	1.8	Fgl1	47,100,55,3,0,27,32,75
ENSMUSG00000004044	1.8	Ptrf	100,80,94,14,10,0,13,58
ENSMUSG00000020642	1.8	Rnf144a	51,100,38,18,0,10,32,60
ENSMUSG00000006522	1.9	Itih3	48,100,45,16,0,26,17,68
ENSMUSG00000028327	2.0	1300002K09Rik	63,100,47,35,0,19,19,55
ENSMUSG00000025083	2.0	Afap1l2	100,87,69,43,6,0,11,55
ENSMUSG00000030762	2.0	Aqp8	63,65,66,39,0,10,39,100
ENSMUSG00000021028	2.0	Mbip	46,75,51,38,0,8,51,100
ENSMUSG00000033107	2.0	Rnf125	59,100,52,31,4,0,40,97
ENSMUSG00000085628	2.1	AL596183.3	76,100,68,40,28,0,70,58
ENSMUSG00000025255	2.1	Zfhx4	59,100,53,40,0,17,54,54
ENSMUSG00000036040	2.2	Adamtsl2	64,100,42,63,0,13,48,88
ENSMUSG00000030532	2.2	Hddc3	63,100,50,25,7,0,11,67
ENSMUSG00000063704	2.2	Mapk15	74,54,94,33,0,8,46,100
ENSMUSG00000041959	2.2	S100a10	56,100,45,23,0,7,25,31
ENSMUSG00000033831	2.3	Fgb	56,100,47,18,8,0,8,29
ENSMUSG00000022500	2.3	Litaf	46,100,42,21,0,23,20,59
ENSMUSG00000028494	2.3	Plin2	78,100,86,29,0,22,24,71
ENSMUSG00000034194	2.3	R3hcc1	88,98,63,55,48,0,33,100
ENSMUSG00000085013	2.5	AC138765.1	100,91,83,57,17,22,0,32
ENSMUSG00000026278	2.5	Bok	70,100,78,20,0,1,29,64
ENSMUSG00000032065	2.5	Tex12	52,100,67,13,0,3,40,48
ENSMUSG00000038260	2.5	Trpm4	81,100,78,68,46,22,19,0
ENSMUSG00000046591	2.6	5730590G19Rik	81,100,82,32,32,0,54,52
ENSMUSG00000033860	2.6	Fgg	53,100,46,22,6,0,12,37
ENSMUSG00000020638	2.8	Cmpk2	40,100,41,21,1,0,21,28
ENSMUSG00000037379	2.8	Spon2	73,100,84,21,2,0,12,69
ENSMUSG00000039611	2.9	2810432L12Rik	92,100,84,49,12,0,3,51
ENSMUSG00000081731	2.9	AL844562.1	64,100,60,34,20,10,0,24
ENSMUSG00000047767	2.9	Atg16l2	68,100,74,65,0,46,55,72
ENSMUSG00000026489	2.9	Cabc1	78,100,93,52,0,11,45,80
ENSMUSG00000025504	2.9	Eps8l2	66,100,82,33,0,9,41,68
ENSMUSG00000034601	3.0	2700049A03Rik	61,100,45,51,8,30,0,69
ENSMUSG00000060131	3.0	Atp8b4	39,100,31,29,0,4,10,46
